"CAna_001.PV";"407011 L"
"CAna_001.Status";"406011"
"CAna_001.Tune_CtrlWd";"414601"
"CAna_001.Tune_DTRL";"414613"
"CAna_001.Tune_FLTR";"414606"
"CAna_001.Tune_HYS";"414611"
"CAna_001.Tune_LVL1";"414610"
"CAna_001.Tune_LVL2";"414609"
"CAna_001.Tune_LVL3";"414608"
"CAna_001.Tune_LVL4";"414607"
"CAna_001.Tune_MANUAL";"414602"
"CAna_001.Tune_MAXDEV";"414614"
"CAna_001.Tune_TCRHL";"414604"
"CAna_001.Tune_TCRLL";"414605"
"CAna_001.Tune_UTRL";"414612"
"CAna_001.Tune_ZERO";"414603"
"CAna_002.PV";"407012"
"CAna_002.Status";"406012"
"CAna_002.Tune_CtrlWd";"414615"
"CAna_002.Tune_DTRL";"414627"
"CAna_002.Tune_FLTR";"414620"
"CAna_002.Tune_HYS";"414625"
"CAna_002.Tune_LVL1";"414624"
"CAna_002.Tune_LVL2";"414623"
"CAna_002.Tune_LVL3";"414622"
"CAna_002.Tune_LVL4";"414621"
"CAna_002.Tune_MANUAL";"414616"
"CAna_002.Tune_MAXDEV";"414628"
"CAna_002.Tune_TCRHL";"414618"
"CAna_002.Tune_TCRLL";"414619"
"CAna_002.Tune_UTRL";"414626"
"CAna_002.Tune_ZERO";"414617"
"CAna_003.PV";"407013"
"CAna_003.Status";"406013"
"CAna_003.Tune_CtrlWd";"414629"
"CAna_003.Tune_DTRL";"414641"
"CAna_003.Tune_FLTR";"414634"
"CAna_003.Tune_HYS";"414639"
"CAna_003.Tune_LVL1";"414638"
"CAna_003.Tune_LVL2";"414637"
"CAna_003.Tune_LVL3";"414636"
"CAna_003.Tune_LVL4";"414635"
"CAna_003.Tune_MANUAL";"414630"
"CAna_003.Tune_MAXDEV";"414642"
"CAna_003.Tune_TCRHL";"414632"
"CAna_003.Tune_TCRLL";"414633"
"CAna_003.Tune_UTRL";"414640"
"CAna_003.Tune_ZERO";"414631"
"CAna_004.PV";"407014"
"CAna_004.Status";"406014"
"CAna_004.Tune_CtrlWd";"414643"
"CAna_004.Tune_DTRL";"414655"
"CAna_004.Tune_FLTR";"414648"
"CAna_004.Tune_HYS";"414653"
"CAna_004.Tune_LVL1";"414652"
"CAna_004.Tune_LVL2";"414651"
"CAna_004.Tune_LVL3";"414650"
"CAna_004.Tune_LVL4";"414649"
"CAna_004.Tune_MANUAL";"414644"
"CAna_004.Tune_MAXDEV";"414656"
"CAna_004.Tune_TCRHL";"414646"
"CAna_004.Tune_TCRLL";"414647"
"CAna_004.Tune_UTRL";"414654"
"CAna_004.Tune_ZERO";"414645"
"CAna_005.PV";"407015"
"CAna_005.Status";"406015"
"CAna_005.Tune_CtrlWd";"414657"
"CAna_005.Tune_DTRL";"414669"
"CAna_005.Tune_FLTR";"414662"
"CAna_005.Tune_HYS";"414667"
"CAna_005.Tune_LVL1";"414666"
"CAna_005.Tune_LVL2";"414665"
"CAna_005.Tune_LVL3";"414664"
"CAna_005.Tune_LVL4";"414663"
"CAna_005.Tune_MANUAL";"414658"
"CAna_005.Tune_MAXDEV";"414670"
"CAna_005.Tune_TCRHL";"414660"
"CAna_005.Tune_TCRLL";"414661"
"CAna_005.Tune_UTRL";"414668"
"CAna_005.Tune_ZERO";"414659"
"CAna_006.PV";"407016"
"CAna_006.Status";"406016"
"CAna_006.Tune_CtrlWd";"414671"
"CAna_006.Tune_DTRL";"414683"
"CAna_006.Tune_FLTR";"414676"
"CAna_006.Tune_HYS";"414681"
"CAna_006.Tune_LVL1";"414680"
"CAna_006.Tune_LVL2";"414679"
"CAna_006.Tune_LVL3";"414678"
"CAna_006.Tune_LVL4";"414677"
"CAna_006.Tune_MANUAL";"414672"
"CAna_006.Tune_MAXDEV";"414684"
"CAna_006.Tune_TCRHL";"414674"
"CAna_006.Tune_TCRLL";"414675"
"CAna_006.Tune_UTRL";"414682"
"CAna_006.Tune_ZERO";"414673"
"CAna_007.PV";"407017"
"CAna_007.Status";"406017"
"CAna_007.Tune_CtrlWd";"414685"
"CAna_007.Tune_DTRL";"414697"
"CAna_007.Tune_FLTR";"414690"
"CAna_007.Tune_HYS";"414695"
"CAna_007.Tune_LVL1";"414694"
"CAna_007.Tune_LVL2";"414693"
"CAna_007.Tune_LVL3";"414692"
"CAna_007.Tune_LVL4";"414691"
"CAna_007.Tune_MANUAL";"414686"
"CAna_007.Tune_MAXDEV";"414698"
"CAna_007.Tune_TCRHL";"414688"
"CAna_007.Tune_TCRLL";"414689"
"CAna_007.Tune_UTRL";"414696"
"CAna_007.Tune_ZERO";"414687"
"CAna_008.PV";"407018"
"CAna_008.Status";"406018"
"CAna_008.Tune_CtrlWd";"414699"
"CAna_008.Tune_DTRL";"414711"
"CAna_008.Tune_FLTR";"414704"
"CAna_008.Tune_HYS";"414709"
"CAna_008.Tune_LVL1";"414708"
"CAna_008.Tune_LVL2";"414707"
"CAna_008.Tune_LVL3";"414706"
"CAna_008.Tune_LVL4";"414705"
"CAna_008.Tune_MANUAL";"414700"
"CAna_008.Tune_MAXDEV";"414712"
"CAna_008.Tune_TCRHL";"414702"
"CAna_008.Tune_TCRLL";"414703"
"CAna_008.Tune_UTRL";"414710"
"CAna_008.Tune_ZERO";"414701"
"CAna_009.PV";"407019"
"CAna_009.Status";"406019"
"CAna_009.Tune_CtrlWd";"414713"
"CAna_009.Tune_DTRL";"414725"
"CAna_009.Tune_FLTR";"414718"
"CAna_009.Tune_HYS";"414723"
"CAna_009.Tune_LVL1";"414722"
"CAna_009.Tune_LVL2";"414721"
"CAna_009.Tune_LVL3";"414720"
"CAna_009.Tune_LVL4";"414719"
"CAna_009.Tune_MANUAL";"414714"
"CAna_009.Tune_MAXDEV";"414726"
"CAna_009.Tune_TCRHL";"414716"
"CAna_009.Tune_TCRLL";"414717"
"CAna_009.Tune_UTRL";"414724"
"CAna_009.Tune_ZERO";"414715"
"CAna_010.PV";"407020"
"CAna_010.Status";"406020"
"CAna_010.Tune_CtrlWd";"414727"
"CAna_010.Tune_DTRL";"414739"
"CAna_010.Tune_FLTR";"414732"
"CAna_010.Tune_HYS";"414737"
"CAna_010.Tune_LVL1";"414736"
"CAna_010.Tune_LVL2";"414735"
"CAna_010.Tune_LVL3";"414734"
"CAna_010.Tune_LVL4";"414733"
"CAna_010.Tune_MANUAL";"414728"
"CAna_010.Tune_MAXDEV";"414740"
"CAna_010.Tune_TCRHL";"414730"
"CAna_010.Tune_TCRLL";"414731"
"CAna_010.Tune_UTRL";"414738"
"CAna_010.Tune_ZERO";"414729"
"CAna_011.PV";"407021"
"CAna_011.Status";"406021"
"CAna_011.Tune_CtrlWd";"414741"
"CAna_011.Tune_DTRL";"414753"
"CAna_011.Tune_FLTR";"414746"
"CAna_011.Tune_HYS";"414751"
"CAna_011.Tune_LVL1";"414750"
"CAna_011.Tune_LVL2";"414749"
"CAna_011.Tune_LVL3";"414748"
"CAna_011.Tune_LVL4";"414747"
"CAna_011.Tune_MANUAL";"414742"
"CAna_011.Tune_MAXDEV";"414754"
"CAna_011.Tune_TCRHL";"414744"
"CAna_011.Tune_TCRLL";"414745"
"CAna_011.Tune_UTRL";"414752"
"CAna_011.Tune_ZERO";"414743"
"CAna_012.PV";"407022"
"CAna_012.Status";"406022"
"CAna_012.Tune_CtrlWd";"414755"
"CAna_012.Tune_DTRL";"414767"
"CAna_012.Tune_FLTR";"414760"
"CAna_012.Tune_HYS";"414765"
"CAna_012.Tune_LVL1";"414764"
"CAna_012.Tune_LVL2";"414763"
"CAna_012.Tune_LVL3";"414762"
"CAna_012.Tune_LVL4";"414761"
"CAna_012.Tune_MANUAL";"414756"
"CAna_012.Tune_MAXDEV";"414768"
"CAna_012.Tune_TCRHL";"414758"
"CAna_012.Tune_TCRLL";"414759"
"CAna_012.Tune_UTRL";"414766"
"CAna_012.Tune_ZERO";"414757"
"CAna_013.PV";"407023"
"CAna_013.Status";"406023"
"CAna_013.Tune_CtrlWd";"414769"
"CAna_013.Tune_DTRL";"414781"
"CAna_013.Tune_FLTR";"414774"
"CAna_013.Tune_HYS";"414779"
"CAna_013.Tune_LVL1";"414778"
"CAna_013.Tune_LVL2";"414777"
"CAna_013.Tune_LVL3";"414776"
"CAna_013.Tune_LVL4";"414775"
"CAna_013.Tune_MANUAL";"414770"
"CAna_013.Tune_MAXDEV";"414782"
"CAna_013.Tune_TCRHL";"414772"
"CAna_013.Tune_TCRLL";"414773"
"CAna_013.Tune_UTRL";"414780"
"CAna_013.Tune_ZERO";"414771"
"CAna_014.PV";"407024"
"CAna_014.Status";"406024"
"CAna_014.Tune_CtrlWd";"414783"
"CAna_014.Tune_DTRL";"414795"
"CAna_014.Tune_FLTR";"414788"
"CAna_014.Tune_HYS";"414793"
"CAna_014.Tune_LVL1";"414792"
"CAna_014.Tune_LVL2";"414791"
"CAna_014.Tune_LVL3";"414790"
"CAna_014.Tune_LVL4";"414789"
"CAna_014.Tune_MANUAL";"414784"
"CAna_014.Tune_MAXDEV";"414796"
"CAna_014.Tune_TCRHL";"414786"
"CAna_014.Tune_TCRLL";"414787"
"CAna_014.Tune_UTRL";"414794"
"CAna_014.Tune_ZERO";"414785"
"CAna_015.PV";"407025"
"CAna_015.Status";"406025"
"CAna_015.Tune_CtrlWd";"414797"
"CAna_015.Tune_DTRL";"414809"
"CAna_015.Tune_FLTR";"414802"
"CAna_015.Tune_HYS";"414807"
"CAna_015.Tune_LVL1";"414806"
"CAna_015.Tune_LVL2";"414805"
"CAna_015.Tune_LVL3";"414804"
"CAna_015.Tune_LVL4";"414803"
"CAna_015.Tune_MANUAL";"414798"
"CAna_015.Tune_MAXDEV";"414810"
"CAna_015.Tune_TCRHL";"414800"
"CAna_015.Tune_TCRLL";"414801"
"CAna_015.Tune_UTRL";"414808"
"CAna_015.Tune_ZERO";"414799"
"CAna_016.PV";"407026"
"CAna_016.Status";"406026"
"CAna_016.Tune_CtrlWd";"414811"
"CAna_016.Tune_DTRL";"414823"
"CAna_016.Tune_FLTR";"414816"
"CAna_016.Tune_HYS";"414821"
